Date,IBM Open,IBM Close,SPY Open,SPY Close,GS Open,GS Close
11/13/2006,91.55,92.07,138.18,138.58,187.65,187.73
11/10/2006,92.3,91.76,138.14,138.24,185.46,187.06
11/9/2006,92.59,92.42,139.01,138.18,188.4,184.78
11/8/2006,92.25,92.59,138,138.91,187.65,188.77
11/7/2006,92.42,92.75,138.2,138.61,190.2,188.68
11/6/2006,91.5,92.6,136.96,138.08,187.68,190
11/3/2006,91.76,91.41,137.27,136.54,188.9,187.13
11/2/2006,91.8,91.68,136.51,136.78,184.51,187.39
11/1/2006,92.5,91.8,138.22,136.86,191,185
10/31/2006,91.5,92.33,138.07,137.79,190,189.79
10/30/2006,89.8,91.5,137.66,137.81,188,189.75
10/27/2006,90.91,90.76,138.61,137.91,192.01,188.67
10/26/2006,91.83,91.54,138.66,138.78,189.18,193.38
10/25/2006,91.21,91.83,137.74,138.35,188.64,188.61
10/24/2006,90.91,91.49,137.28,137.88,184.52,187.84
10/23/2006,90.05,91.56,136.56,137.47,180.23,184.7
10/20/2006,90.04,90.48,136.84,136.84,179.72,180.4
10/19/2006,89.8,89.86,136.39,136.81,181.25,180.05
10/18/2006,90.51,89.82,137.04,136.59,184.07,182.97
10/17/2006,86.33,86.95,136.47,136.41,184.22,183.07
10/16/2006,86.08,86.71,136.52,136.84,183.82,185.22
10/13/2006,84.45,86.08,136.16,136.63,181.21,183.85
10/12/2006,84.2,84.7,135.45,136.28,179.27,181.51
10/11/2006,84.15,84.19,134.84,135.11,177.3,178.97
10/10/2006,83.71,84.19,135.1,135.27,177.05,178.86
10/9/2006,83.14,84,134.85,135.09,175.4,177.45
10/6/2006,82.93,83.14,134.95,135.01,174.32,175.65
10/5/2006,82.81,82.92,134.92,135.18,176.52,175.5
10/4/2006,81.65,83.1,133.23,134.92,173.31,176.56
10/3/2006,81.88,81.65,132.89,133.36,170.44,174.2
10/2/2006,81.76,81.87,133.54,133.08,168.51,170.69
9/29/2006,81.9,81.94,133.8,133.58,170.05,169.17
9/28/2006,81.85,81.99,133.74,133.69,168.95,170
9/27/2006,82,82.09,133.49,133.74,168.93,169
9/26/2006,81.9,82.5,132.5,133.58,167.94,168.68
9/25/2006,81.65,82,131.73,132.48,167.9,168.69
9/22/2006,81.75,81.21,131.67,131.47,166.95,167.52
9/21/2006,82.61,81.61,132.61,131.87,167.5,167.15
9/20/2006,82.37,83.42,132.25,132.51,164.63,166.6
9/19/2006,81.97,81.87,132.12,131.81,163.08,163.39
9/18/2006,82.56,82.24,131.79,132.14,162.02,163.22
